step,time_s,phase,wall_step_ms,outer_euler_residual_norm,inner_euler_residual_norm,euler_residual_norm_max,contact_current_error,contact_current_iterations,theta_beta_rad,theta_beta_deg,theta_tip_rad,theta_tip_deg,inner_interp_frame_0,inner_interp_frame_1,inner_interp_alpha,inner_to_outer_tip_distance_m,outer_tip_x_m,outer_tip_y_m,outer_tip_z_m,inner_pseudo_tip_x_m,inner_pseudo_tip_y_m,inner_pseudo_tip_z_m
1,0.005,waiting,45.402895999359316,1.5845045647825524e-07,0.00024660457501644823,0.00024660457501644823,0.0,0.0,0.0,0.0,0.0,0.0,299,300,1.0,5.845082634198277e-05,0.1696887318898691,0.003728465585895549,0.0,0.16963037228722633,0.003725201251439979,0.0
2,0.01,waiting,19.979095000962843,1.509052215234345e-07,0.04059022619271848,0.04059022619271848,0.0,0.0,0.0,0.0,0.0,0.0,299,300,1.0,0.00017906702431496788,0.16968873188982447,0.003728465586188323,0.0,0.16950983987710228,0.0037205506015883277,0.0
3,0.015,waiting,263.61710899982427,1.4371949172135377e-07,0.13560990475715057,0.13560990475715057,3.075487193980709e-06,501.0,0.0,0.0,0.0,0.0,299,300,0.6702098835786422,0.002096300282982816,0.16968960068844344,0.0036885655488991032,0.0,0.1689735930349535,0.005658795971102977,0.0
4,0.02,waiting,105.64460100067663,0.00011774401530355313,0.2838754708915247,0.2838754708915247,3.271893097223618e-05,501.0,0.0,0.0,0.0,0.0,299,300,0.9841355121412891,0.0009507321364356157,0.1696781512054605,0.003945695067764816,0.0,0.16935157158190753,0.004838576551911186,0.0
5,0.025,waiting,202.31952900030592,0.010255732218969795,0.27061140503964415,0.27061140503964415,9.423741763091469e-06,501.0,0.0,0.0,0.0,0.0,299,300,0.9952843118876068,0.000950202688301352,0.16967534235248224,0.00400131735703323,0.0,0.16933901818041774,0.004890008079467219,0.0
6,0.030000000000000002,waiting,108.33947399987665,0.010336891856860394,0.26755462360673266,0.26755462360673266,1.573100035164319e-05,501.0,0.0,0.0,0.0,0.0,299,300,1.0,0.0009503192555628366,0.1696727751522395,0.004051301259622966,0.0,0.16931580327262297,0.0049320269630383625,0.0
7,0.035,waiting,146.0647820003942,0.010256996257634737,0.2632372392428809,0.2632372392428809,1.829486480143508e-05,501.0,0.0,0.0,0.0,0.0,299,300,1.0,0.0009521308589389469,0.16966998073521525,0.004104707540504806,0.0,0.16929315353622348,0.004979095574871607,0.0
8,0.04,waiting,142.1812869994028,0.010253894738982989,0.2573747603385443,0.2573747603385443,1.3650773080863938e-05,501.0,0.0,0.0,0.0,0.0,299,300,1.0,0.0009542155072150023,0.16966724460003507,0.004156528282434385,0.0,0.16927332710914642,0.005025640613828647,0.0
9,0.045,waiting,137.7758790004009,0.010223064051471798,0.25052761243995475,0.25052761243995475,1.2983817960956243e-05,501.0,0.0,0.0,0.0,0.0,299,300,1.0,0.0009562000845186804,0.16966459414823998,0.004206249403116472,0.0,0.16925556050386065,0.005070546851567695,0.0
10,0.049999999999999996,waiting,127.23116599954665,0.010157061727285463,0.2431107935405355,0.2431107935405355,2.2371725228730463e-05,501.0,0.0,0.0,0.0,0.0,299,300,1.0,0.0009581409024351054,0.1696620364477284,0.004253823018958756,0.0,0.16923920702281917,0.005113619079865112,0.0
11,0.05499999999999999,waiting,134.9089699997421,0.010060149189036605,0.23540997986013196,0.23540997986013196,1.5378173049883953e-05,501.0,0.0,0.0,0.0,0.0,299,300,1.0,0.0009600432505570488,0.16965957503414425,0.004299139032236554,0.0,0.16922418945915987,0.005154780571688484,0.0
12,0.05999999999999999,waiting,130.3668580003432,0.00993532282727449,0.22753750613411589,0.22753750613411589,2.191257757894648e-05,501.0,0.0,0.0,0.0,0.0,299,300,1.0,0.0009619140744323895,0.1696572145291781,0.004342215724054754,0.0,0.16921009295298955,0.005193896992310549,0.0
13,0.06499999999999999,waiting,127.40633599969442,0.009786257496297562,0.21964732453547609,0.21964732453547609,1.6262956899175577e-05,501.0,0.0,0.0,0.0,0.0,299,300,1.0,0.000963748761984135,0.1696549515325439,0.004383115016864549,0.0,0.16919702954196067,0.005231123935901518,0.0
14,0.06999999999999999,waiting,138.12824100023136,0.009617339863679979,0.21176122947128842,0.21176122947128842,1.4763568723372205e-05,501.0,0.0,0.0,0.0,0.0,299,300,1.0,0.0009655357735253322,0.16965278504849537,0.004421914193223144,0.0,0.16918479813111184,0.0052664540532149735,0.0
15,0.075,waiting,131.2703479998163,0.009434761472134586,0.20395806958239376,0.20395806958239376,2.2449203048366005e-05,501.0,0.0,0.0,0.0,0.0,299,300,1.0,0.0009672816009940556,0.16965071458985975,0.004458684828291122,0.0,0.16917328031193285,0.005299928078416816,0.0
16,0.08,waiting,132.4263719998271,0.009240972137200106,0.19627786824480725,0.19627786824480725,1.8921896040945462e-05,501.0,0.0,0.0,0.0,0.0,299,300,1.0,0.0009689886863909208,0.16964873656937135,0.004493509288586575,0.0,0.16916244531207364,0.005331638089803557,0.0
17,0.085,waiting,133.8885469995148,0.009040715600586889,0.18874778882581233,0.18874778882581233,2.063706355698456e-05,501.0,0.0,0.0,0.0,0.0,299,300,1.0,0.0009706383779320239,0.16964684521299633,0.004526550367029595,0.0,0.1691523125873891,0.005361760725516925,0.0
18,0.09000000000000001,waiting,136.73726100023487,0.008838096676954078,0.18137480231054037,0.18137480231054037,1.8358735011015738e-05,501.0,0.0,0.0,0.0,0.0,299,300,1.0,0.0009722092079263167,0.16964503980183743,0.004557841055522457,0.0,0.16914283047192094,0.005390293176020417,0.0
19,0.09500000000000001,waiting,139.3672289996175,0.008634085131073553,0.17417450583372351,0.17417450583372351,1.3863698112214248e-05,501.0,0.0,0.0,0.0,0.0,299,300,1.0,0.0009737284175766023,0.16964331787689857,0.0045874769021216994,0.0,0.16913389367856846,0.00541731665614169,0.0
20,0.10000000000000002,waiting,140.9110740005417,0.008431419944837548,0.16717315225009166,0.16717315225009166,1.4084145338769314e-05,501.0,0.0,0.0,0.0,0.0,299,300,1.0,0.0009751978700246586,0.16964167453818918,0.004615576777689667,0.0,0.16912543500138305,0.005442926538273922,0.0
21,0.10500000000000002,waiting,184.45503799921426,0.00823491006683021,0.1603777364795152,0.1603777364795152,1.4656116971474515e-05,501.0,0.0,0.0,0.0,0.0,299,300,1.0,0.0009766225037422035,0.1696401061675883,0.004642221907319365,0.0,0.16911742035040075,0.005467201332109274,0.0
22,0.11000000000000003,waiting,201.8154739998863,0.00804697269227206,0.15379396699315195,0.15379396699315195,2.1642744665989056e-05,501.0,0.0,0.0,0.0,0.0,299,300,1.0,0.0009780047847682558,0.1696386108934829,0.004667468342105701,0.0,0.1691097976416687,0.005490177223627771,0.0
23,0.11500000000000003,waiting,155.9910639989539,0.00786924717630238,0.14742411240507414,0.14742411240507414,2.1231999348265904e-05,501.0,0.0,0.0,0.0,0.0,299,300,1.0,0.000979349742398545,0.16963718472503372,0.00469143165108637,0.0,0.16910256418289726,0.0055119843878814,0.0
24,0.12000000000000004,waiting,157.92748800049594,0.0077013131442906025,0.14126946225023762,0.14126946225023762,2.117028237564521e-05,501.0,0.0,0.0,0.0,0.0,299,300,1.0,0.0009806508387660447,0.1696358261037963,0.004714113553672524,0.0,0.1690956962200709,0.005532609599038251,0.0
25,0.12500000000000003,waiting,149.73612599897024,0.007543191724262987,0.13532892666990437,0.13532892666990437,2.112587961211377e-05,501.0,0.0,0.0,0.0,0.0,299,300,1.0,0.0009819066677777038,0.1696345305695446,0.0047356536519167535,0.0,0.1690891929546316,0.005552199786551715,0.0
